identifier ,condition,income_level
1308,recommendation,LMI
,,
1312,recommendation,LMI
,,
1334,recommendation,LMI
,,
1337,recommendation,LMI
,,
1338,recommendation,LMI
,,
1345,recommendation,LMI
,,
1347,recommendation,LMI
,,
1353,recommendation,LMI
,,
1362,recommendation,LMI
,,
1365,recommendation,LMI
,,
1371,recommendation,LMI
,,
1372,recommendation,LMI
,,
1374,recommendation,LMI
,,
1375,recommendation,LMI
,,
1378,recommendation,LMI
,,
1383,recommendation,LMI
,,
1386,recommendation,LMI
,,
1394,recommendation,LMI
,,
1395,recommendation,LMI
,,
1397,recommendation,LMI
,,
1401,recommendation,LMI
,,
1402,recommendation,LMI
,,
1404,recommendation,LMI
,,
1406,recommendation,LMI
,,
1411,recommendation,LMI
,,
1413,recommendation,LMI
,,
1425,recommendation,LMI
,,
1426,recommendation,LMI
,,
1427,recommendation,LMI
,,
1432,recommendation,LMI
,,
1433,recommendation,LMI
,,
1435,recommendation,LMI
,,
1437,recommendation,LMI
,,
1440,recommendation,LMI
,,
1442,recommendation,LMI
,,
1445,recommendation,LMI
,,
1453,recommendation,LMI
,,
1466,recommendation,LMI
,,
1482,recommendation,LMI
,,
1484,recommendation,LMI
,,
1488,recommendation,LMI
,,
1489,recommendation,LMI
,,
1494,recommendation,LMI
,,
1502,recommendation,LMI
,,
1503,recommendation,LMI
,,
1504,recommendation,LMI
,,
1508,recommendation,LMI
,,
1509,recommendation,LMI
,,
1520,recommendation,LMI
,,
1535,recommendation,LMI
,,
1537,recommendation,LMI
,,
1538,recommendation,LMI
,,
1540,recommendation,LMI
,,
1557,recommendation,LMI
,,
1609,control,LMI
,,
1613,control,LMI
,,
1614,control,LMI
,,
1620,control,LMI
,,
1625,control,LMI
,,
1626,control,LMI
,,
1629,control,LMI
,,
1630,control,LMI
,,
1635,control,LMI
,,
1638,control,LMI
,,
1650,control,LMI
,,
1651,control,LMI
,,
1656,control,LMI
,,
1664,control,LMI
,,
1674,control,LMI
,,
1675,control,LMI
,,
1680,control,LMI
,,
1682,control,LMI
,,
1684,control,LMI
,,
1687,control,LMI
,,
1693,control,LMI
,,
1697,control,LMI
,,
1698,control,LMI
,,
1705,control,LMI
,,
1708,control,LMI
,,
1562,recommendation,LMI
,,
1563,recommendation,LMI
,,
1569,recommendation,LMI
,,
1578,recommendation,LMI
,,
1579,recommendation,LMI
,,
1582,recommendation,LMI
,,
1603,recommendation,LMI
,,
1611,recommendation,LMI
,,
1624,recommendation,LMI
,,
1628,recommendation,LMI
,,
1631,recommendation,LMI
,,
1636,recommendation,LMI
,,
1639,recommendation,LMI
,,
1642,recommendation,LMI
,,
1647,recommendation,LMI
,,
1653,recommendation,LMI
,,
1659,recommendation,LMI
,,
1660,recommendation,LMI
,,
1662,recommendation,LMI
,,
1665,recommendation,LMI
,,
1668,recommendation,LMI
,,
1669,recommendation,LMI
,,
1670,recommendation,LMI
,,
1671,recommendation,LMI
,,
1676,recommendation,LMI
,,
1677,recommendation,LMI
,,
1681,recommendation,LMI
,,
1683,recommendation,LMI
,,
1686,recommendation,LMI
,,
1709,control,LMI
,,
1718,control,LMI
,,
1725,control,LMI
,,
1728,control,LMI
,,
1732,control,LMI
,,
1733,control,LMI
,,
1736,control,LMI
,,
1739,control,LMI
,,
1749,control,LMI
,,
1758,control,LMI
,,
1759,control,LMI
,,
1767,control,LMI
,,
1772,control,LMI
,,
1694,recommendation,LMI
,,
1695,recommendation,LMI
,,
1696,recommendation,LMI
,,
1701,recommendation,LMI
,,
1704,recommendation,LMI
,,
1713,recommendation,LMI
,,
1722,recommendation,LMI
,,
1723,recommendation,LMI
,,
1724,recommendation,LMI
,,
1726,recommendation,LMI
,,
1731,recommendation,LMI
,,
1735,recommendation,LMI
,,
1744,recommendation,LMI
,,
1745,recommendation,LMI
,,
1747,recommendation,LMI
,,
1753,recommendation,LMI
,,
1756,recommendation,LMI
,,
1762,recommendation,LMI
,,
1768,recommendation,LMI
,,
1769,recommendation,LMI
,,
1771,recommendation,LMI
,,
1781,control,LMI
,,
1785,control,LMI
,,
1786,control,LMI
,,
1789,control,LMI
,,
1791,control,LMI
,,
1793,control,LMI
,,
1794,control,LMI
,,
1797,control,LMI
,,
1800,control,LMI
,,
1804,control,LMI
,,
1808,control,LMI
,,
1809,control,LMI
,,
1813,control,LMI
,,
1814,control,LMI
,,
1815,control,LMI
,,
1822,control,LMI
,,
1826,control,LMI
,,
1830,control,LMI
,,
1776,recommendation,LMI
,,
1779,recommendation,LMI
,,
1782,recommendation,LMI
,,
1783,recommendation,LMI
,,
